motion_id,topic,source,confidence,classified_at
amsterdamopen.calicotab.com:AmsterdamOpen2023:22999,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen.calicotab.com:AmsterdamOpen2023:23000,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen2025.calicotab.com:amsterdamopen2025:68601,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen2025.calicotab.com:amsterdamopen2025:68623,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
amsterdamopen2025.calicotab.com:amsterdamopen2025:68644,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen2025.calicotab.com:amsterdamopen2025:68664,,,,2026-09-26T13:52:04.780788+00:00
amsterdamopen2025.calicotab.com:amsterdamopen2025:68731,,,,2026-09-26T13:52:04.780788+00:00
amsterdampre2026.calicotab.com:amsterdampre2026:83479,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
amsterdampre2026.calicotab.com:amsterdampre2026:83481,,,,2026-09-26T13:52:04.780788+00:00
amsterdampre2026.calicotab.com:amsterdampre2026:83487,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
amsterdampre2026.calicotab.com:amsterdampre2026:83493,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
amsterdampre2026.calicotab.com:amsterdampre2026:83562,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
midp.calicotab.com:aedc2021:8681,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
midp.calicotab.com:aedc2021:8682,,,,2026-09-26T13:52:04.780788+00:00
midp.calicotab.com:aedc2021:8680,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
midp.calicotab.com:aedc2021:8677,,,,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17163,,,,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17164,,,,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17165,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17166,,,,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17167,,,,2026-09-26T13:52:04.780788+00:00
aodcbp22.calicotab.com:aodcbp22:17168,,,,2026-09-26T13:52:04.780788+00:00
auw.calicotab.com:auwiv2026:71203,,,,2026-09-26T13:52:04.780788+00:00
auw.calicotab.com:auwiv2026:71223,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
auw.calicotab.com:auwiv2026:71233,,,,2026-09-26T13:52:04.780788+00:00
auw.calicotab.com:auwiv2026:71238,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
astanaopen.calicotab.com:_:32014,,,,2026-09-26T13:52:04.780788+00:00
astanaopen.calicotab.com:_:32015,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
astanaopen.calicotab.com:_:32016,,,,2026-09-26T13:52:04.780788+00:00
astanaopen.calicotab.com:_:32017,,,,2026-09-26T13:52:04.780788+00:00
astanaopen.calicotab.com:_:32018,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
ateneoiv2023.calicotab.com:aiv2023:26718,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
ateneoiv2023.calicotab.com:aiv2023:26719,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
ateneoiv2023.calicotab.com:aiv2023:26720,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
ateneoiv2023.calicotab.com:aiv2023:26721,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aivpreworlds2023.calicotab.com:aivpw2023:36226,,,,2026-09-26T13:52:04.780788+00:00
aivpreworlds2023.calicotab.com:aivpw2023:36227,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aivpreworlds2023.calicotab.com:aivpw2023:36228,,,,2026-09-26T13:52:04.780788+00:00
aivpreworlds2023.calicotab.com:aivpw2023:36229,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aivpreworlds2023.calicotab.com:aivpw2023:36230,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athena2024.calicotab.com:athena24:48016,Military & Security,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athena2024.calicotab.com:athena24:48017,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athena2024.calicotab.com:athena24:48018,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athena2024.calicotab.com:athena24:48019,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athena2024.calicotab.com:athena24:48020,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
hdf.calicotab.com:academy2025:54115,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
hdf.calicotab.com:academy2025:54156,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
hdf.calicotab.com:academy2025:54183,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
hdf.calicotab.com:academy2025:54203,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2024.calicotab.com:athensiv2024:43157,,,,2026-09-26T13:52:04.780788+00:00
athensiv2024.calicotab.com:athensiv2024:43158,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2024.calicotab.com:athensiv2024:43159,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2024.calicotab.com:athensiv2024:43160,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2024.calicotab.com:athensiv2024:43161,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2025.calicotab.com:_:69025,,,,2026-09-26T13:52:04.780788+00:00
athensiv2025.calicotab.com:_:69052,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2025.calicotab.com:_:69075,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
athensiv2025.calicotab.com:_:69089,,,,2026-09-26T13:52:04.780788+00:00
athensiv2025.calicotab.com:_:69169,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aucklandiv24.calicotab.com:aucklandiv24:48085,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aucklandiv24.calicotab.com:aucklandiv24:48086,,,,2026-09-26T13:52:04.780788+00:00
aucklandiv24.calicotab.com:aucklandiv24:48087,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aucklandiv24.calicotab.com:aucklandiv24:48088,,,,2026-09-26T13:52:04.780788+00:00
