host,slug,status,rounds
aucklandiv24.calicotab.com,aucklandiv24,"failed: ConnectionError: HTTPSConnectionPool(host='aucklandiv24.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/aucklandiv24/teams (Caused by NameResolutionError(""HTTPSConnection(host='aucklandiv24.calicotab.com', port=443): Failed to resolve 'aucklandiv24.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
aud.calicotab.com,audpreabp2026,"failed: ConnectionError: HTTPSConnectionPool(host='aud.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/audpreabp2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='aud.calicotab.com', port=443): Failed to resolve 'aud.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
aurgumentum.au-tab.app,open2024,"failed: ConnectionError: HTTPSConnectionPool(host='aurgumentum.au-tab.app', port=443): Max retries exceeded with url: /api/v1/tournaments/open2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='aurgumentum.au-tab.app', port=443): Failed to resolve 'aurgumentum.au-tab.app' ([Errno 8] nodename nor servname provided, or not known)""))",
aurgumentum.au-tab.app,proams2024,"failed: ConnectionError: HTTPSConnectionPool(host='aurgumentum.au-tab.app', port=443): Max retries exceeded with url: /api/v1/tournaments/proams2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='aurgumentum.au-tab.app', port=443): Failed to resolve 'aurgumentum.au-tab.app' ([Errno 8] nodename nor servname provided, or not known)""))",
dipo2025.au-tab.app,en,"failed: ConnectionError: HTTPSConnectionPool(host='dipo2025.au-tab.app', port=443): Max retries exceeded with url: /api/v1/tournaments/en/teams (Caused by NameResolutionError(""HTTPSConnection(host='dipo2025.au-tab.app', port=443): Failed to resolve 'dipo2025.au-tab.app' ([Errno 8] nodename nor servname provided, or not known)""))",
usutabs2022.calicotab.com,abpdc2022,"failed: ConnectionError: HTTPSConnectionPool(host='usutabs2022.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/abpdc2022/teams (Caused by NameResolutionError(""HTTPSConnection(host='usutabs2022.calicotab.com', port=443): Failed to resolve 'usutabs2022.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
abpdc2023.calicotab.com,abpdc2023,"failed: ConnectionError: HTTPSConnectionPool(host='abpdc2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/abpdc2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='abpdc2023.calicotab.com', port=443): Failed to resolve 'abpdc2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
abpdc2024.calicotab.com,abpdc2024,"failed: ConnectionError: HTTPSConnectionPool(host='abpdc2024.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/abpdc2024/teams (Caused by NameResolutionError(""HTTPSConnection(host='abpdc2024.calicotab.com', port=443): Failed to resolve 'abpdc2024.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
abpdc25.calicotab.com,abpdc2025,"failed: ConnectionError: HTTPSConnectionPool(host='abpdc25.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/abpdc2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='abpdc25.calicotab.com', port=443): Failed to resolve 'abpdc25.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bacdebateclub2023.calicotab.com,bacdo23,"failed: ConnectionError: HTTPSConnectionPool(host='bacdebateclub2023.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bacdo23/teams (Caused by NameResolutionError(""HTTPSConnection(host='bacdebateclub2023.calicotab.com', port=443): Failed to resolve 'bacdebateclub2023.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
sserigadebating.calicotab.com,balticopen2023,"failed: ConnectionError: HTTPSConnectionPool(host='sserigadebating.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/balticopen2023/teams (Caused by NameResolutionError(""HTTPSConnection(host='sserigadebating.calicotab.com', port=443): Failed to resolve 'sserigadebating.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
balticiv24.calicotab.com,balticiv24,"failed: ConnectionError: HTTPSConnectionPool(host='balticiv24.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/balticiv24/teams (Caused by NameResolutionError(""HTTPSConnection(host='balticiv24.calicotab.com', port=443): Failed to resolve 'balticiv24.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
balticiv25.calicotab.com,balticiv25,"failed: ConnectionError: HTTPSConnectionPool(host='balticiv25.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/balticiv25/teams (Caused by NameResolutionError(""HTTPSConnection(host='balticiv25.calicotab.com', port=443): Failed to resolve 'balticiv25.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
balticiv.calicotab.com,BIV,"failed: ConnectionError: HTTPSConnectionPool(host='balticiv.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/BIV/teams (Caused by NameResolutionError(""HTTPSConnection(host='balticiv.calicotab.com', port=443): Failed to resolve 'balticiv.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bdc.calicotab.com,BDCFundraiser2025,"failed: ConnectionError: HTTPSConnectionPool(host='bdc.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/BDCFundraiser2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='bdc.calicotab.com', port=443): Failed to resolve 'bdc.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bates2021.calicotab.com,bates2021,"failed: ConnectionError: HTTPSConnectionPool(host='bates2021.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bates2021/teams (Caused by NameResolutionError(""HTTPSConnection(host='bates2021.calicotab.com', port=443): Failed to resolve 'bates2021.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bdidf-bangladesh.calicotab.com,bdidfbangladesh,"failed: ConnectionError: HTTPSConnectionPool(host='bdidf-bangladesh.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bdidfbangladesh/teams (Caused by NameResolutionError(""HTTPSConnection(host='bdidf-bangladesh.calicotab.com', port=443): Failed to resolve 'bdidf-bangladesh.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
bdidf.calicotab.com,bdidf,"failed: ConnectionError: HTTPSConnectionPool(host='bdidf.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/bdidf/teams (Caused by NameResolutionError(""HTTPSConnection(host='bdidf.calicotab.com', port=443): Failed to resolve 'bdidf.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
